limiar,vp,vn,fp,fn,acuracia,precisao,recall,f1,conjunto,modo,versao
0.96,276,14861,0,1663,0.9010119047619047,1.0,0.14234141309953585,0.2492099322799097,treino,rotulado,v1
0.97,138,14861,0,1801,0.892797619047619,1.0,0.07117070654976793,0.13288396726047183,treino,rotulado,v1
0.98,40,14861,0,1899,0.8869642857142858,1.0,0.020629190304280558,0.0404244567963618,treino,rotulado,v1
0.99,2,14861,0,1937,0.884702380952381,1.0,0.0010314595152140279,0.0020607934054611026,treino,rotulado,v1
1.0,0,14861,0,1939,0.8845833333333334,0.0,0.0,0.0,treino,rotulado,v1
0.0,1939,0,14861,0,0.11541666666666667,0.11541666666666667,1.0,0.20694807620470676,treino,rotulado,v2
0.01,1939,8751,6110,0,0.6363095238095238,0.24089949061995278,1.0,0.3882659191029235,treino,rotulado,v2
0.02,1939,10352,4509,0,0.7316071428571429,0.3007133995037221,1.0,0.46238225825682605,treino,rotulado,v2
0.03,1939,11283,3578,0,0.7870238095238096,0.35145912633677723,1.0,0.5201180257510729,treino,rotulado,v2
0.04,1939,11896,2965,0,0.8235119047619047,0.3953915171288744,1.0,0.5667105070875347,treino,rotulado,v2
0.05,1939,12332,2529,0,0.8494642857142857,0.4339749328558639,1.0,0.6052754799438115,treino,rotulado,v2
0.06,1939,12699,2162,0,0.8713095238095238,0.47281150938795413,1.0,0.6420529801324504,treino,rotulado,v2
0.07,1939,12969,1892,0,0.8873809523809524,0.5061341686243801,1.0,0.6720970537261698,treino,rotulado,v2
0.08,1939,13195,1666,0,0.9008333333333334,0.537864077669903,1.0,0.6994949494949495,treino,rotulado,v2
0.09,1939,13392,1469,0,0.9125595238095238,0.5689553990610329,1.0,0.7252665045820086,treino,rotulado,v2
0.1,1939,13539,1322,0,0.9213095238095238,0.5946028825513646,1.0,0.7457692307692307,treino,rotulado,v2
0.11,1939,13644,1217,0,0.9275595238095238,0.6143852978453739,1.0,0.7611383709519136,treino,rotulado,v2
0.12,1939,13763,1098,0,0.9346428571428571,0.6384590055976292,1.0,0.7793408360128617,treino,rotulado,v2
0.13,1939,13846,1015,0,0.9395833333333333,0.6563981042654028,1.0,0.7925608011444921,treino,rotulado,v2
0.14,1939,13926,935,0,0.9443452380952381,0.674669450243563,1.0,0.8057344691460627,treino,rotulado,v2
0.15,1939,13992,869,0,0.9482738095238096,0.6905270655270656,1.0,0.8169370128502212,treino,rotulado,v2
0.16,1939,14038,823,0,0.9510119047619048,0.7020275162925417,1.0,0.8249308657732397,treino,rotulado,v2
0.17,1939,14112,749,0,0.9554166666666667,0.7213541666666666,1.0,0.8381240544629349,treino,rotulado,v2
0.18,1939,14157,704,0,0.9580952380952381,0.7336360196746122,1.0,0.8463553033609778,treino,rotulado,v2
0.19,1939,14200,661,0,0.960654761904762,0.7457692307692307,1.0,0.8543732099581406,treino,rotulado,v2
0.2,1938,14249,612,1,0.9635119047619047,0.76,0.999484270242393,0.8634439741590555,treino,rotulado,v2
0.21,1938,14294,567,1,0.9661904761904762,0.7736526946107785,0.999484270242393,0.8721872187218722,treino,rotulado,v2
0.22,1937,14339,522,2,0.9688095238095238,0.7877185847905652,0.998968540484786,0.8808549340609367,treino,rotulado,v2
0.23,1935,14382,479,4,0.97125,0.8015741507870754,0.9979370809695719,0.8890420399724328,treino,rotulado,v2
0.24,1935,14422,439,4,0.9736309523809524,0.8150800336983993,0.9979370809695719,0.8972872710410387,treino,rotulado,v2
0.25,1934,14458,403,5,0.9757142857142858,0.8275566966195977,0.997421351211965,0.9045837231057062,treino,rotulado,v2
0.26,1933,14498,363,6,0.9780357142857142,0.8418989547038328,0.9969056214543579,0.9128689492325855,treino,rotulado,v2
0.27,1933,14526,335,6,0.9797023809523809,0.8522927689594356,0.9969056214543579,0.9189446161159971,treino,rotulado,v2
0.28,1930,14549,312,9,0.9808928571428571,0.8608385370205174,0.9953584321815369,0.923224109064817,treino,rotulado,v2
0.29,1929,14569,292,10,0.9820238095238095,0.8685276902296263,0.9948427024239299,0.9274038461538462,treino,rotulado,v2
0.3,1929,14586,275,10,0.9830357142857142,0.8752268602540835,0.9948427024239299,0.9312092686459088,treino,rotulado,v2
0.31,1925,14600,261,14,0.9836309523809523,0.8806038426349497,0.9927797833935018,0.9333333333333333,treino,rotulado,v2
0.32,1921,14617,244,18,0.9844047619047619,0.8872979214780601,0.9907168643630737,0.9361598440545809,treino,rotulado,v2
0.33,1918,14637,224,21,0.9854166666666667,0.8954248366013072,0.9891696750902527,0.9399656946826758,treino,rotulado,v2
0.34,1913,14655,206,26,0.9861904761904762,0.902784332232185,0.9865910263022176,0.9428289797930015,treino,rotulado,v2
0.35000000000000003,1910,14668,193,29,0.9867857142857143,0.908226343319068,0.9850438370293966,0.9450766947055913,treino,rotulado,v2
0.36,1904,14680,181,35,0.9871428571428571,0.913189448441247,0.9819494584837545,0.9463220675944334,treino,rotulado,v2
0.37,1899,14697,164,40,0.9878571428571429,0.9205041202132817,0.9793708096957194,0.9490254872563718,treino,rotulado,v2
0.38,1887,14715,146,52,0.9882142857142857,0.9281849483521889,0.9731820526044352,0.9501510574018127,treino,rotulado,v2
0.39,1879,14726,135,60,0.9883928571428572,0.9329692154915591,0.9690562145435792,0.9506703769289148,treino,rotulado,v2
0.4,1870,14736,125,69,0.988452380952381,0.9373433583959899,0.964414646725116,0.9506863243518048,treino,rotulado,v2
0.41000000000000003,1860,14751,110,79,0.98875,0.9441624365482234,0.9592573491490459,0.9516500383729855,treino,rotulado,v2
0.42,1853,14761,100,86,0.9889285714285714,0.9487967229902714,0.9556472408457968,0.9522096608427544,treino,rotulado,v2
0.43,1842,14771,90,97,0.9888690476190476,0.953416149068323,0.9499742135121196,0.9516920692327564,treino,rotulado,v2
0.44,1831,14776,85,108,0.9885119047619048,0.9556367432150313,0.9443011861784425,0.949935149156939,treino,rotulado,v2
0.45,1819,14783,78,120,0.9882142857142857,0.9588824459673169,0.9381124290871583,0.9483837330552659,treino,rotulado,v2
0.46,1808,14790,71,131,0.9879761904761905,0.9622139435870144,0.9324394017534812,0.9470927187008905,treino,rotulado,v2
